Order             RNG Steps   Coins
[1]               7           1    
[2]               10          2    
[3]               13          3    
[1, 1]            14          2    
[4]               16          4    
[2, 1]            17          3    
[5]               19          5    
[3, 1]            20          4    
[1, 1, 1]         21          3    
[6]               22          6    
[4, 1]            23          5    
[2, 1, 1]         24          4    
[7]               25          7    
[5, 1]            26          6    
[3, 1, 1]         27          5    
[8]               28          8    
[6, 1]            29          7    
[4, 1, 1]         30          6    
[9]               31          9    
[7, 1]            32          8    
[5, 1, 1]         33          7    
[10]              34          10   
[8, 1]            35          9    
[6, 1, 1]         36          8    
[11]              37          11   
[9, 1]            38          10   
[7, 1, 1]         39          9    
[12]              40          12   
[10, 1]           41          11   
[8, 1, 1]         42          10   
[13]              43          13   
[11, 1]           44          12   
[9, 1, 1]         45          11   
[14]              46          14   
[12, 1]           47          13   
[10, 1, 1]        48          12   
[15]              49          15   
[13, 1]           50          14   
[11, 1, 1]        51          13   
[16]              52          16   
[14, 1]           53          15   
[12, 1, 1]        54          14   
[17]              55          17   
[15, 1]           56          16   
[13, 1, 1]        57          15   
[18]              58          18   
[16, 1]           59          17   
[14, 1, 1]        60          16   
[19]              61          19   
[17, 1]           62          18   
[15, 1, 1]        63          17   
[20]              64          20   
[18, 1]           65          19   
[16, 1, 1]        66          18   
[14, 1, 1, 1]     67          17   
[19, 1]           68          20   
[17, 1, 1]        69          19   
[15, 1, 1, 1]     70          18   
[20, 1]           71          21   
[18, 1, 1]        72          20   
[16, 1, 1, 1]     73          19   
[20, 2]           74          22   
[19, 1, 1]        75          21   
[17, 1, 1, 1]     76          20   
[20, 3]           77          23   
[20, 1, 1]        78          22   
[18, 1, 1, 1]     79          21   
[20, 4]           80          24   
[20, 2, 1]        81          23   
[19, 1, 1, 1]     82          22   
[20, 5]           83          25   
[20, 3, 1]        84          24   
[20, 1, 1, 1]     85          23   
[20, 6]           86          26   
[20, 4, 1]        87          25   
[20, 2, 1, 1]     88          24   
[20, 7]           89          27   
[20, 5, 1]        90          26   
[20, 3, 1, 1]     91          25   
[20, 8]           92          28   
[20, 6, 1]        93          27   
[20, 4, 1, 1]     94          26   
[20, 9]           95          29   
[20, 7, 1]        96          28   
[20, 5, 1, 1]     97          27   
[20, 10]          98          30   
[20, 8, 1]        99          29   
[20, 6, 1, 1]     100         28   
[20, 11]          101         31   
[20, 9, 1]        102         30   
[20, 7, 1, 1]     103         29   
[20, 12]          104         32   
[20, 10, 1]       105         31   
[20, 8, 1, 1]     106         30   
[20, 13]          107         33   
[20, 11, 1]       108         32   
[20, 9, 1, 1]     109         31   
[20, 14]          110         34   
[20, 12, 1]       111         33   
[20, 10, 1, 1]    112         32   
[20, 15]          113         35   
[20, 13, 1]       114         34   
[20, 11, 1, 1]    115         33   
[20, 16]          116         36   
[20, 14, 1]       117         35   
[20, 12, 1, 1]    118         34   
[20, 17]          119         37   
[20, 15, 1]       120         36   
[20, 13, 1, 1]    121         35   
[20, 18]          122         38   
[20, 16, 1]       123         37   
[20, 14, 1, 1]    124         36   
[20, 19]          125         39   
[20, 17, 1]       126         38   
[20, 15, 1, 1]    127         37   
[20, 20]          128         40   
[20, 18, 1]       129         39   
[20, 16, 1, 1]    130         38   
[20, 19, 1]       132         40   
[20, 17, 1, 1]    133         39   
[20, 20, 1]       135         41   
[20, 18, 1, 1]    136         40   
[20, 20, 2]       138         42   
[20, 19, 1, 1]    139         41   
[20, 20, 3]       141         43   
[20, 20, 1, 1]    142         42   
[20, 20, 4]       144         44   
[20, 20, 2, 1]    145         43   
[20, 20, 5]       147         45   
[20, 20, 3, 1]    148         44   
[20, 20, 6]       150         46   
[20, 20, 4, 1]    151         45   
[20, 20, 7]       153         47   
[20, 20, 5, 1]    154         46   
[20, 20, 8]       156         48   
[20, 20, 6, 1]    157         47   
[20, 20, 9]       159         49   
[20, 20, 7, 1]    160         48   
[20, 20, 10]      162         50   
[20, 20, 8, 1]    163         49   
[20, 20, 11]      165         51   
[20, 20, 9, 1]    166         50   
[20, 20, 12]      168         52   
[20, 20, 10, 1]   169         51   
[20, 20, 13]      171         53   
[20, 20, 11, 1]   172         52   
[20, 20, 14]      174         54   
[20, 20, 12, 1]   175         53   
[20, 20, 15]      177         55   
[20, 20, 13, 1]   178         54   
[20, 20, 16]      180         56   
[20, 20, 14, 1]   181         55   
[20, 20, 17]      183         57   
[20, 20, 15, 1]   184         56   
[20, 20, 18]      186         58   
[20, 20, 16, 1]   187         57   
[20, 20, 19]      189         59   
[20, 20, 17, 1]   190         58   
[20, 20, 20]      192         60   
[20, 20, 18, 1]   193         59   
[20, 20, 19, 1]   196         60   
[20, 20, 20, 1]   199         61   
[20, 20, 20, 2]   202         62   
[20, 20, 20, 3]   205         63   
[20, 20, 20, 4]   208         64   
[20, 20, 20, 5]   211         65   
[20, 20, 20, 6]   214         66   
[20, 20, 20, 7]   217         67   
[20, 20, 20, 8]   220         68   
[20, 20, 20, 9]   223         69   
[20, 20, 20, 10]  226         70   
[20, 20, 20, 11]  229         71   
[20, 20, 20, 12]  232         72   
[20, 20, 20, 13]  235         73   
[20, 20, 20, 14]  238         74   
[20, 20, 20, 15]  241         75   
[20, 20, 20, 16]  244         76   
[20, 20, 20, 17]  247         77   
[20, 20, 20, 18]  250         78   
[20, 20, 20, 19]  253         79   
[20, 20, 20, 20]  256         80   
